Lon,Lat,Prev Full Moon UTC,Next Full Moon UTC,Dawn Start Local,tag,days
-71,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T05:20:40.507046+00:00,migrated,30
-70,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T05:16:42.053764+00:00,migrated,30
-69,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T05:12:43.599583+00:00,migrated,30
-68,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T05:08:45.144503+00:00,migrated,30
-67,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T05:04:46.688528+00:00,migrated,30
-66,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T05:00:48.231658+00:00,migrated,30
-65,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T04:56:49.773895+00:00,migrated,30
-64,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T04:52:51.315242+00:00,migrated,30
-63,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T04:48:52.855699+00:00,migrated,30
-62,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T04:44:54.395269+00:00,migrated,30
-61,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T04:40:55.933953+00:00,migrated,30
-60,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T04:36:57.471753+00:00,migrated,30
-59,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T04:32:59.008670+00:00,migrated,30
-58,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T04:29:00.544706+00:00,migrated,30
-57,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T04:25:02.079863+00:00,migrated,30
-56,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T04:21:03.614143+00:00,migrated,30
-55,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T04:17:05.147547+00:00,migrated,30
-54,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T04:13:06.680076+00:00,migrated,30
-53,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T04:09:08.211733+00:00,migrated,30
-52,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T04:05:09.742519+00:00,migrated,30
-51,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T04:01:11.272436+00:00,migrated,30
-50,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T03:57:12.801485+00:00,migrated,30
-49,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T03:53:14.329668+00:00,migrated,30
-48,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T03:49:15.856987+00:00,migrated,30
-47,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T03:45:17.383443+00:00,migrated,30
-46,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T03:41:18.909038+00:00,migrated,30
-45,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T03:37:20.433773+00:00,migrated,30
-44,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T03:33:21.957650+00:00,migrated,30
